Date,Open,High,Low,Close,Adj Close,Volume
02/01/2017,63900,63900,63900,63900,53824.42969,0
03/01/2017,63650,64350,63100,63300,53319.03516,340700
04/01/2017,63400,64450,62300,63200,53234.80469,578800
05/01/2017,63200,65600,63200,65600,55256.37891,1023100
06/01/2017,65450,65450,63900,64425,54266.65234,339100
09/01/2017,64775,64850,63125,63600,53571.73438,397300
10/01/2017,63700,63700,63000,63000,53066.33984,620000
11/01/2017,63200,63200,63025,63150,53192.69531,334500
12/01/2017,63700,63975,63250,63250,53276.92578,370300
13/01/2017,63775,63925,63025,63050,53108.45703,531400
16/01/2017,62800,64075,62800,63200,53234.80469,445000
17/01/2017,63250,63450,62500,62500,52645.18359,269000
18/01/2017,62600,63900,62600,63000,53066.33984,296400
19/01/2017,63700,63725,63250,63400,53403.27344,356700
20/01/2017,63400,63475,62500,62500,52645.18359,326000
23/01/2017,63000,63500,62975,63475,53466.44141,288700
24/01/2017,63475,63800,63375,63750,53698.08594,406300
25/01/2017,63750,63750,63000,63000,53066.33984,309300
26/01/2017,63900,63900,63225,63400,53403.27344,290000
27/01/2017,63750,63750,62700,62800,52897.87891,373400
30/01/2017,62800,63400,62700,62800,52897.87891,204400
31/01/2017,61750,63300,61750,61750,52013.4375,649000
01/02/2017,62300,62800,62000,62700,52813.64453,608200
02/02/2017,62725,62725,61800,62000,52224.01953,542300
03/02/2017,62000,62000,61550,61800,52055.55469,582500
06/02/2017,62000,62000,61800,61850,52097.66797,504900
07/02/2017,62475,62625,61875,62500,52645.18359,750300
08/02/2017,62800,62800,62500,62600,52729.41406,637200
09/02/2017,62850,62850,61875,62400,52560.94922,757900
10/02/2017,62000,62500,61800,62000,52224.01953,757200
13/02/2017,62000,62475,61425,62000,52224.01953,731700
14/02/2017,62000,62000,61500,61500,51802.85938,397800
15/02/2017,61500,61500,61500,61500,51802.85938,0
16/02/2017,61675,62075,60775,61000,51381.69531,856800
17/02/2017,61000,61100,60350,60800,51213.23047,529500
20/02/2017,60500,61200,60425,60500,50960.53906,239500
21/02/2017,60500,60525,60050,60150,50665.72266,941900
22/02/2017,60150,62375,60075,62200,52392.48438,1557600
23/02/2017,62225,63300,62225,63125,53171.63281,1195000
24/02/2017,63250,65050,62600,65000,54750.98828,2201000
27/02/2017,65250,66000,64700,65750,55382.73047,1286400
28/02/2017,65750,66000,64075,65850,55466.96094,838300
01/03/2017,66000,66000,64300,64625,54435.11328,887700
02/03/2017,64700,66000,64700,65850,55466.96094,853400
03/03/2017,64600,65075,64475,64475,54308.76953,747500
06/03/2017,64400,64425,63250,63400,53403.27344,768100
07/03/2017,64200,64200,62500,62850,52939.99609,756400
08/03/2017,62500,63475,62150,62825,52918.9375,716600
09/03/2017,63625,63625,62400,63625,53592.79297,284500
10/03/2017,63875,63950,62850,63500,53487.50391,333000
13/03/2017,63425,63500,62475,63000,53066.33984,348300
14/03/2017,63000,64500,62925,64475,54308.76953,594800
15/03/2017,64300,64825,63725,64450,54287.71094,640200
16/03/2017,64900,65400,64700,65050,54793.10156,812300
17/03/2017,65700,65950,64925,65250,54961.57031,1453100
20/03/2017,65650,65650,65225,65450,55130.03516,255600
21/03/2017,65300,66000,65200,65800,55424.84375,1132200
22/03/2017,65650,65650,65200,65425,55108.97266,997600
23/03/2017,65800,65950,65400,65450,55130.03516,475100
24/03/2017,65025,65600,64850,64925,54687.81641,399300
27/03/2017,64500,65225,64400,64500,54329.82813,589800
29/03/2017,64500,65500,64500,65500,55172.14844,400500
30/03/2017,66700,66700,65075,66700,56182.9375,882700
31/03/2017,66900,66900,65500,65525,55193.20703,587600
03/04/2017,65025,67300,65025,66700,56182.9375,709800
04/04/2017,67200,67725,66875,67700,57025.26172,820300
05/04/2017,67700,67700,67700,67700,57025.26172,0
06/04/2017,67625,68575,67625,68000,57277.95703,1286800
07/04/2017,68250,68250,67850,68200,57446.42188,560300
10/04/2017,67850,67950,66750,67000,56435.63672,606100
11/04/2017,66275,66750,65450,65450,55130.03516,672500
12/04/2017,65450,65500,64500,64950,54708.87109,862600
13/04/2017,65200,65225,64525,64675,54477.23828,382800
17/04/2017,65000,65000,64400,64600,54414.05859,528500
18/04/2017,64800,65100,64800,64900,54666.75391,876600
19/04/2017,64900,64900,64900,64900,54666.75391,0
20/04/2017,64600,64625,63500,63575,53550.67969,1033700
21/04/2017,63750,64450,63500,64200,54077.12891,634100
25/04/2017,64200,64500,63650,64500,54329.82813,844100
26/04/2017,65000,65950,64050,65950,55551.19531,1197900
27/04/2017,65800,67000,65025,66400,55930.23828,821500
28/04/2017,66300,67525,65950,66400,55930.23828,828100
02/05/2017,66400,67250,66325,67150,56561.98047,896300
03/05/2017,67400,68125,67400,67800,57109.49219,938700
04/05/2017,67850,68000,67000,68000,57277.95703,540400
05/05/2017,67825,71475,67700,71400,60141.86328,1679700
08/05/2017,71300,71400,69950,70000,58962.59766,936500
09/05/2017,70000,72000,70000,71200,59973.39063,881600
10/05/2017,70425,71975,69500,70975,59783.87109,856600
12/05/2017,70975,74000,70925,73900,62247.65625,1541600
15/05/2017,73875,74000,72850,73600,61994.97266,677900
16/05/2017,73700,73700,70500,70500,59383.76563,643300
17/05/2017,70450,71350,69975,70100,59046.83594,675800
18/05/2017,69200,72550,69200,72025,60668.30469,804700
19/05/2017,73000,77975,72875,76500,64437.69922,1380100
22/05/2017,76000,78475,72800,74250,62542.48047,1664700
23/05/2017,74250,74275,72025,73100,61573.80469,1155000
24/05/2017,72775,75025,72100,73600,61994.97266,674800
26/05/2017,75200,75275,73600,74275,62563.53125,639600
29/05/2017,74000,74525,73275,73400,61826.49609,297000
30/05/2017,73425,75050,73425,73500,61910.73438,796600
31/05/2017,73750,75000,73400,73950,62289.78125,2191900
01/06/2017,73950,73950,73950,73950,62289.78125,0
02/06/2017,73800,75450,73200,74500,62753.05078,514100
05/06/2017,74500,75175,74025,74300,62584.58984,375900
06/06/2017,75000,75000,73400,74400,62668.82031,904800
07/06/2017,74000,75500,74000,75500,63595.375,664200
08/06/2017,74525,75375,74525,74950,63132.10547,500000
09/06/2017,74800,75875,74450,75500,63595.375,735800
12/06/2017,75000,78050,74900,77750,65490.59766,838500
13/06/2017,77750,78500,77275,77675,65427.43359,515500
14/06/2017,77600,79000,77600,79000,66543.50781,967000
15/06/2017,78800,80325,77825,80000,67385.82813,1075900
16/06/2017,79000,79750,79000,79000,66543.50781,1400300
19/06/2017,79025,80075,79025,79900,67301.60156,1217600
20/06/2017,79650,79850,79025,79400,66880.4375,1047500
21/06/2017,79350,79400,77775,78400,66038.10938,870800
22/06/2017,79450,79450,77600,78300,65953.89063,751300
23/06/2017,78300,78300,78300,78300,65953.89063,0
26/06/2017,78300,78300,78300,78300,65953.89063,0
27/06/2017,78300,78300,78300,78300,65953.89063,0
28/06/2017,78300,78300,78300,78300,65953.89063,0
29/06/2017,78300,78300,78300,78300,65953.89063,0
30/06/2017,78300,78300,78300,78300,65953.89063,0
03/07/2017,78900,81300,78750,81300,68480.85156,1561900
04/07/2017,79500,79725,78325,78500,68306.82813,764200
05/07/2017,78500,78600,75000,75800,65957.41406,790800
06/07/2017,76000,78000,75925,77875,67762.97656,713800
07/07/2017,78000,78000,75850,76350,66436,999200
