Date,real_close,close_lstm
2020-12-22,129.0,124.375916
2020-12-23,121.0,127.489075
2020-12-28,130.0,126.989685
2020-12-29,130.0,126.14869
2020-12-30,130.0,133.46033
2021-01-04,130.0,133.46037
2021-01-05,127.0,133.4603
2021-01-06,130.0,127.56658
2021-01-07,130.0,128.2284
2021-01-08,122.0,133.30412
2021-01-11,115.0,126.04473
2021-01-12,116.0,122.696266
2021-01-13,118.0,119.385056
2021-01-14,113.0,121.05555
2021-01-15,117.0,120.608
2021-01-18,110.0,121.72566
2021-01-19,118.0,119.38681
2021-01-20,115.0,124.58553
2021-01-21,116.0,119.70745
2021-01-22,113.0,121.4679
2021-01-25,113.0,120.53834
2021-01-26,111.0,118.07967
2021-01-27,108.0,116.38286
2021-01-28,103.0,115.07163
2021-01-29,103.0,112.58993
2021-02-01,97.0,109.32694
2021-02-02,108.0,105.4112
2021-02-03,105.0,108.905655
2021-02-04,112.0,114.36197
2021-02-05,105.0,111.95396
2021-02-08,102.0,114.724304
2021-02-09,102.0,111.68381
2021-02-10,98.0,108.676414
2021-02-11,107.0,105.73691
2021-02-15,120.0,108.2573
2021-02-16,112.0,120.88345
2021-02-17,109.0,121.553116
2021-02-18,114.0,121.37991
2021-02-19,113.0,116.682526
2021-02-22,112.0,117.98453
2021-02-23,118.0,114.920586
2021-02-24,117.0,121.37053
2021-02-25,116.0,120.9033
2021-02-26,118.0,117.89546
2021-03-01,111.0,118.36805
2021-03-02,111.0,120.41594
2021-03-03,115.0,116.28998
2021-03-04,117.0,116.99625
2021-03-05,133.0,120.57166
2021-03-08,136.0,130.64587
2021-03-09,138.0,144.66031
2021-03-10,137.0,140.0674
2021-03-12,142.0,138.60197
2021-03-15,148.0,141.81044
2021-03-16,147.0,146.14638
2021-03-17,141.0,146.7469
2021-03-18,145.0,142.21815
2021-03-19,146.0,148.88907
2021-03-22,170.0,148.26181
2021-03-23,165.0,160.88022
2021-03-24,164.0,168.16069
2021-03-25,153.0,177.86526
2021-03-26,143.0,164.88527
2021-03-29,155.0,150.42401
2021-03-30,157.0,151.85837
2021-03-31,157.0,158.91788
2021-04-01,163.0,158.97234
2021-04-05,163.0,160.31494
2021-04-06,164.0,168.06958
2021-04-07,165.0,163.3241
2021-04-08,166.0,171.502
2021-04-09,164.0,167.98994
2021-04-12,164.0,165.52977
2021-04-13,170.0,161.03546
2021-04-14,176.0,167.07437
2021-04-15,182.0,177.6755
2021-04-16,185.0,181.94908
2021-04-19,185.0,184.7211
2021-04-20,184.0,186.73767
2021-04-21,185.0,186.9785
2021-04-22,175.0,181.47653
2021-04-23,180.0,189.74512
2021-04-26,182.0,178.02516
2021-04-27,185.0,181.5288
2021-04-28,182.0,183.52893
2021-04-29,175.0,183.58035
2021-04-30,166.0,180.08081
2021-05-03,170.0,171.65715
2021-05-04,172.0,175.27847
2021-05-05,180.0,171.54091
2021-05-06,170.0,174.83325
2021-05-07,168.0,176.63214
2021-05-10,166.0,171.94261
2021-05-11,170.0,167.15524
2021-05-17,166.0,164.29614
2021-05-18,171.0,169.43823
2021-05-19,166.0,168.0954
2021-05-20,171.0,170.94058
