Date,real_close,close_lstm
2017-10-23,198.0,182.05545
2017-10-24,228.0,182.05603
2017-10-25,228.0,192.61137
2017-10-26,228.0,198.89658
2017-10-27,210.0,199.34946
2017-10-30,199.0,192.15994
2017-10-31,199.0,182.04617
2017-11-01,199.0,182.61644
2017-11-02,199.0,182.61948
2017-11-03,199.0,182.61948
2017-11-06,200.0,182.61948
2017-11-07,191.0,183.18216
2017-11-08,191.0,176.81393
2017-11-09,191.0,178.13988
2017-11-10,191.0,178.13988
2017-11-13,191.0,178.1398
2017-11-14,191.0,178.08134
2017-11-15,194.0,178.13988
2017-11-16,193.0,179.81201
2017-11-17,194.0,179.25067
2017-11-20,260.0,179.35138
2017-11-21,324.0,202.5015
2017-11-22,320.0,243.90167
2017-11-23,320.0,268.5736
2017-11-24,400.0,247.24254
2017-11-27,418.0,281.6338
2017-11-28,350.0,312.52316
2017-11-29,416.0,284.90512
2017-11-30,396.0,302.20544
2017-12-01,396.0,307.06494
2017-12-04,410.0,302.6737
2017-12-05,374.0,310.65308
2017-12-06,348.0,290.48325
2017-12-07,278.0,273.3157
2017-12-08,258.0,241.36903
2017-12-11,306.0,217.46883
2017-12-12,304.0,236.64539
2017-12-13,284.0,245.21397
2017-12-14,270.0,232.19603
2017-12-15,260.0,226.66402
2017-12-18,240.0,216.55344
2017-12-19,300.0,207.1534
2017-12-20,276.0,225.7087
2017-12-21,258.0,234.94365
2017-12-22,252.0,221.0591
2017-12-25,252.0,215.58348
2017-12-26,252.0,213.67085
2017-12-27,242.0,213.67085
2017-12-28,244.0,206.735
2017-12-29,256.0,211.1337
