Date,real_price,Close_ARIMA
2017-10-20,198,193.52022671314256
2017-10-23,198,197.6464277180844
2017-10-24,228,198.01732697967472
2017-10-25,228,223.48959512666173
2017-10-26,228,226.13418598546627
2017-10-27,210,227.37921085462585
2017-10-30,199,212.06565973347318
2017-10-31,199,201.36175456373232
2017-11-01,199,200.8149320189246
2017-11-02,199,200.47297611670933
2017-11-03,199,200.2274095847687
2017-11-06,200,200.04158787562955
2017-11-07,191,200.78546974980668
2017-11-08,191,192.72112920104004
2017-11-09,191,192.3680311085586
2017-11-10,191,192.10243083012915
2017-11-13,191,191.902470426658
2017-11-14,191,191.75390136786442
2017-11-15,194,191.64485166269324
2017-11-16,193,194.23813058701884
2017-11-17,194,193.38533743080637
2017-11-20,260,194.2678311000141
2017-11-21,324,254.3654199740667
2017-11-22,320,333.8772981172785
2017-11-23,320,317.4506428830677
2017-11-24,400,322.0394701587673
2017-11-27,418,415.35836128304504
2017-11-28,350,414.96937608445756
2017-11-29,416,338.68122311375646
2017-11-30,396,413.57854102192414
2017-12-01,396,398.1292713747178
2017-12-04,410,397.44260279043607
2017-12-05,374,409.9843754987268
2017-12-06,348,378.83715363959976
2017-12-07,278,351.74485313795026
2017-12-08,258,279.97304957822297
2017-12-11,306,259.2155788420006
2017-12-12,304,311.73344159837103
2017-12-13,284,300.19137314076323
2017-12-14,270,285.9529959093491
2017-12-15,260,267.6113086882488
2017-12-18,240,261.6738611765813
2017-12-19,300,236.81315217989282
2017-12-20,276,298.8881592201166
2017-12-21,258,277.1653572986006
2017-12-22,252,259.63914490247123
2017-12-25,252,253.13142685056468
2017-12-26,252,252.69592178247888
2017-12-27,242,252.5624829422389
2017-12-28,244,242.97830296522199
2017-12-29,256,244.5229579800996
